param_set_id,time_step,neuron_1_activation
2,1,0.06400014380879435
2,2,0.1299861150582441
2,3,0.17023885610987327
2,4,0.3279779812513044
2,5,0.3921537147939095
2,6,0.315982230866352
2,7,0.38282937878232737
2,8,0.5906087980645686
2,9,0.6712859294881607
2,10,0.7505843663125161
2,11,0.9211072451771491
2,12,0.99195446310129
2,13,0.9646939992691386
2,14,0.8130287187895402
2,15,0.7513586210183056
2,16,0.8559402263293309
2,17,1.0
2,18,1.0
2,19,0.9158550940538153
2,20,1.0
2,21,1.0
2,22,0.9859731687783462
2,23,0.8831751141751405
2,24,0.9430171686925591
2,25,0.9878211229404872
2,26,1.0
2,27,0.9470397816824704
2,28,0.9998390953755157
2,29,1.0
2,30,1.0
2,31,0.9887847521350064
2,32,1.0
2,33,0.9381829199299034
2,34,0.984126482403867
2,35,0.9794940666397514
2,36,0.9705958467579544
2,37,0.9918950183362232
2,38,1.0
2,39,1.0
2,40,1.0
2,41,1.0
2,42,1.0
2,43,1.0
2,44,0.9998197722126093
2,45,1.0
2,46,1.0
2,47,1.0
2,48,0.9727977089869105
2,49,0.9575774514497964
2,50,0.9043483159690887
2,51,0.9555624459967902
2,52,0.9878895563575749
2,53,1.0
2,54,1.0
2,55,0.981049394933632
2,56,1.0
2,57,1.0
2,58,0.9770544836329165
2,59,1.0
2,60,1.0
2,61,1.0
2,62,0.9641132647043004
2,63,1.0
2,64,1.0
2,65,0.9402855844552171
2,66,0.9934362499494892
2,67,1.0
2,68,0.93829713909986
2,69,1.0
2,70,1.0
2,71,1.0
2,72,0.9174046137010397
2,73,0.8155943465872119
2,74,0.8539872169004364
2,75,0.7663987391228693
2,76,0.7326302605592321
2,77,0.8442813536437273
2,78,0.8643607250904017
2,79,0.8801149350105909
2,80,0.8274110010088523
2,81,0.9931295994141973
2,82,0.9239050807445822
2,83,1.0
2,84,1.0
2,85,1.0
2,86,1.0
2,87,1.0
2,88,1.0
2,89,1.0
2,90,1.0
2,91,1.0
2,92,1.0
2,93,1.0
2,94,1.0
2,95,1.0
2,96,1.0
2,97,1.0
2,98,0.8270605224661582
2,99,0.7266158315297075
2,100,0.6445442275423708
